ApplicationDocsID	ApplicationDocsTypeID	ApplNo	SubmissionType	SubmissionNo	ApplicationDocsTitle	ApplicationDocsURL	ApplicationDocsDate
41626	3	020738	SUPPL     	1	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/020738s001_teveten_toc.cfm	2003-08-07 00:00:00
41627	3	020738	SUPPL     	4	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20738-s004_teveten.pdf	2001-07-05 00:00:00
41628	3	020740	SUPPL     	6	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/20-740S006_Baycol.pdf	2001-12-03 00:00:00
41629	3	020740	SUPPL     	8	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/20-740S008_Baycol.cfm	2001-11-29 00:00:00
41630	3	020740	SUPPL     	10	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/020740_S010_BAYCOL.pdf	2007-09-24 00:00:00
41631	3	020740	SUPPL     	12	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/020740_S012_BAYCOL.pdf	2007-09-24 00:00:00
41632	3	020740	SUPPL     	13	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2000/20-740S008_Baycol.cfm	2001-11-29 00:00:00
41633	3	020740	SUPPL     	18	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/20-740S018_Baycol.pdf	2001-12-03 00:00:00
41634	3	020740	SUPPL     	19	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/20-740S019_Baycol.pdf	2001-12-03 00:00:00
41635	3	020741	SUPPL     	16	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/020741_S016_PRANDIN_TABS_AP.pdf	2007-07-06 00:00:00
41636	3	020741	SUPPL     	19	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2003/020741_S019_PRANDIN_TABS_AP.pdf	2007-07-06 00:00:00
41637	3	020741	SUPPL     	30	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/2006/020741_S030_PRANDIN_TABS_AP.pdf	2007-07-06 00:00:00
41638	3	020743	ORIG      	1	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/020743_noritate_toc.cfm	2003-08-07 00:00:00
41639	3	020745	ORIG      	1	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/020745_s000_Zantac.cfm	2005-05-18 00:00:00
41640	3	020746	ORIG      	1	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/20746_Rhinocort.cfm	2004-06-16 00:00:00
41641	3	020747	ORIG      	1	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/98/20747_Actiq.cfm	2000-07-19 00:00:00
41642	3	020749	ORIG      	1	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/020749_lamisil_toc.cfm	2003-08-07 00:00:00
41643	3	020750	ORIG      	1	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/97/020750_Tilade_toc.cfm	2010-03-03 00:00:00
41644	3	020752	SUPPL     	2	0	http://www.accessdata.fda.gov/drugsatfda_docs/nda/99/19462s27.pdf	1999-03-18 00:00:00
